key,val01,val02,val03
a, '91', '26', '63'

b, '44', '06', '62'

c, '19', '96', '85'

d, '93', '80', '33'

e, '37', '16', '79'

f, '78', '72', '73'

g, '02', '71', '12'

h, '01', '10', '13'

i, '98', '56', '55'

j, '68', '39', '86'

k, '70', '58', '22'

l, '89', '59', '76'

m, '99', '05', '69'

n, '57', '35', '41'

o, '81', '21', '60'

p, '61', '50', '07'

q, '87', '28', '04'

r, '09', '40', '52'

s, '15', '31', '51'

t, '95', '64', '43'

u, '74', '54', '92'

v, '90', '32', '77'

w, '67', '20', '11'

x, '49', '30', '14'

y, '88', '18', '34'

z, '46', '24', '42'
